Principle,Card Types,Categories,Colors,Note
Blue gets card draw and selection because it is the color of knowledge,,Card Advantage (https://app.notion.com/p/Card-Advantage-385f1559c99b8188ad4ac0b4e7359d72?pvs=21),"Blue (https://app.notion.com/p/Blue-385f1559c99b81ad8f01d3f8ad7be42e?pvs=21), Black (https://app.notion.com/p/Black-385f1559c99b81159969d6f2ba866779?pvs=21)","Blue is the color of knowledge/intellect, so it gets the most raw card draw and the best card selection, and it focuses on card SELECTION rather than card loss — the contrast with black's discard."
Black draws cards only by paying a cost ('power at any cost'),,,Black (https://app.notion.com/p/Black-385f1559c99b81159969d6f2ba866779?pvs=21),"Black is 'power at any cost,' so it gets card draw only by paying — most often life. The willingness to pay is the philosophical price of black's power."
"The mechanical color pie is a snapshot, not a fixed law",,,"White (https://app.notion.com/p/White-385f1559c99b814186a1e434ab788b13?pvs=21), Blue (https://app.notion.com/p/Blue-385f1559c99b81ad8f01d3f8ad7be42e?pvs=21), Black (https://app.notion.com/p/Black-385f1559c99b81159969d6f2ba866779?pvs=21), Red (https://app.notion.com/p/Red-385f1559c99b81ad809afb2dead490e9?pvs=21), Green (https://app.notion.com/p/Green-385f1559c99b81ad8180d89fdd7dc9cf?pvs=21)","This mechanical color pie is where the color pie stood on October 18, 2021 — a snapshot in time. It keeps evolving; the needs of each set bend it, and designers constantly experiment, so some things won't stick."
Enemy colors define identity by mechanical exclusion,,,"Black (https://app.notion.com/p/Black-385f1559c99b81159969d6f2ba866779?pvs=21), Blue (https://app.notion.com/p/Blue-385f1559c99b81ad8f01d3f8ad7be42e?pvs=21), White (https://app.notion.com/p/White-385f1559c99b814186a1e434ab788b13?pvs=21)","Opposed (enemy) colors define themselves partly by what the other doesn't do. Black owns 'discard as effect' almost alone, while its enemy blue focuses on card selection, not card loss. White and black both use lifelink but with opposite flavor."
"Removal philosophy: black destroys unconditionally, white conditionally",,Creature Removal (https://app.notion.com/p/Creature-Removal-385f1559c99b81b0b72fe58e539ba525?pvs=21),"Black (https://app.notion.com/p/Black-385f1559c99b81159969d6f2ba866779?pvs=21), White (https://app.notion.com/p/White-385f1559c99b814186a1e434ab788b13?pvs=21)","Black's creature destruction is unconditional ('regardless of circumstance') — its ruthlessness. White's removal needs a condition (combat, big power, having been attacked) or gives the controller compensation, reflecting balance, parity, and justification. White, color of mercy, also saves things the turn they die."
Bleeds and reassignments happen to fit philosophy and set needs,,,"White (https://app.notion.com/p/White-385f1559c99b814186a1e434ab788b13?pvs=21), Green (https://app.notion.com/p/Green-385f1559c99b81ad8180d89fdd7dc9cf?pvs=21), Red (https://app.notion.com/p/Red-385f1559c99b81ad809afb2dead490e9?pvs=21)","Abilities deliberately shift colors over time. Individual creature untapping moved from white to green; haste expanded into green as secondary; and 'Bite' was once red-only until designers saw green needed it more, since green's removal must be tied to creatures."
Green is the creature color and most in tune with lands,,Mana & Ramp (https://app.notion.com/p/Mana-Ramp-385f1559c99b81179f77e83910ecb376?pvs=21),Green (https://app.notion.com/p/Green-385f1559c99b81ad8180d89fdd7dc9cf?pvs=21),"Green is the creature color and the color closest to lands and mana. So it tutors for creatures and lands, ramps with repeatable mana, and makes the biggest creatures."
"Tiers measure frequency, not power",,,,"Primary / Secondary / Tertiary are relative measures of how OFTEN a color gets an ability, not how strong it is. Primary = highest volume, lowest rarity, almost always present each set. Secondary = regular but less frequent. Tertiary = occasional, sometimes years between appearances."
Allied colors share mechanical territory,,,"White (https://app.notion.com/p/White-385f1559c99b814186a1e434ab788b13?pvs=21), Green (https://app.notion.com/p/Green-385f1559c99b81ad8180d89fdd7dc9cf?pvs=21), Blue (https://app.notion.com/p/Blue-385f1559c99b81ad8f01d3f8ad7be42e?pvs=21), Red (https://app.notion.com/p/Red-385f1559c99b81ad809afb2dead490e9?pvs=21)",Adjacent (allied) colors on the wheel share mechanical space. White and green both excel at tokens and creature pumping; blue and red both copy and redirect spells.
"White draws over time, not all at once",,Card Advantage (https://app.notion.com/p/Card-Advantage-385f1559c99b8188ad4ac0b4e7359d72?pvs=21),"White (https://app.notion.com/p/White-385f1559c99b814186a1e434ab788b13?pvs=21), Blue (https://app.notion.com/p/Blue-385f1559c99b81ad8f01d3f8ad7be42e?pvs=21)","White draws over time rather than in bursts, so its card draw carries a once-per-turn limit. The constraint keeps white's card advantage distinct from blue's — a reminder that limitations define a color as much as its abilities."
Red's mechanics flow from impulsiveness and immediacy,,Mana & Ramp (https://app.notion.com/p/Mana-Ramp-385f1559c99b81179f77e83910ecb376?pvs=21),Red (https://app.notion.com/p/Red-385f1559c99b81ad809afb2dead490e9?pvs=21),"Red is impulsive and chaotic, wanting to act NOW. Hence impulsive draw (use it this turn or lose it), temporary effects (temporary mana, temporary copying/stealing), and chaos. Permanence is against red's nature."
